id,region,category,classification,subclassification,total_number_of_housing_units,total_energy_consumption,energy_consumption_per_household,energy_consumption_per_household_member,energy_consumption_per_square_foot,total_energy_expenditures,energy_expenditure_per_household,energy_expenditure_per_household_member,energy_expenditure_per_square_foot
1,Northeast,All homes,,,21.0,1984,94.4,38.1,45.2,47.66,2269,915,1.09
2,Northeast,Census division,New England,,5.6,547,97.3,40.3,44.5,14.31,2541,1054,1.16
3,Northeast,Census division,Middle Atlantic,,15.4,1436,93.4,37.3,45.5,33.36,2169,866,1.06
4,Northeast,Census urban/rural classification,Urban,,17.7,1652,93.1,37.5,47.4,39.11,2203,889,1.12
5,Northeast,Census urban/rural classification,Urban,Urbanized area,15.6,1465,93.9,37.0,47.7,34.66,2223,876,1.13
6,Northeast,Census urban/rural classification,Urban,Urban cluster,2.2,187,86.8,42.1,45.1,4.44,2063,1002,1.07
7,Northeast,Census urban/rural classification,Rural,,3.3,332,102.0,41.0,36.6,8.55,2626,1056,0.94
8,Northeast,Metropolitan or micropolitan statistical area,In metropolitan statistical area,,18.4,1750,95.0,37.5,45.8,41.7,2264,894,1.09
9,Northeast,Metropolitan or micropolitan statistical area,In micropolitan statistical area,,-1.0,-1,93.3,43.6,38.3,-1.0,2369,1106,0.97
10,Northeast,Metropolitan or micropolitan statistical area,Not in metropolitan or micropolitan statistical area,,-1.0,-1,86.2,41.3,45.5,-1.0,2215,1061,1.17
11,Northeast,Climate region,Very cold/Cold,,13.9,1383,99.3,40.6,43.1,31.76,2282,932,0.99
12,Northeast,Climate region,Mixed-humid,,7.1,601,84.9,33.3,50.9,15.9,2244,881,1.35
13,Northeast,Climate region,Mixed-dry/Hot-dry,,-2.0,-2,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0
14,Northeast,Climate region,Hot-humid,,-2.0,-2,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0
15,Northeast,Climate region,Marine,,-2.0,-2,-2.0,-2.0,-2.0,-2.0,-2,-2,-2.0
16,Northeast,Housing unit type,Single-family detached,,10.8,1356,125.5,45.9,42.2,31.19,2887,1056,0.97
17,Northeast,Housing unit type,Single-family attached,,1.9,174,93.2,37.4,45.4,3.76,2013,807,0.98
18,Northeast,Housing unit type,Apartments in buildings with 2–4 units,,3.2,222,70.2,26.6,63.6,5.51,1743,660,1.58
19,Northeast,Housing unit type,Apartments in buildings with 5 or more units,,4.7,192,41.0,22.7,49.1,6.22,1327,736,1.59
20,Northeast,Housing unit type,Mobile homes,,0.5,40,81.2,35.0,71.6,0.99,2022,870,1.78
21,Northeast,Ownership of housing unit,Owned,,12.9,1478,114.6,44.2,42.6,34.74,2693,1039,1.0
22,Northeast,Ownership of housing unit,Owned,Single-family,11.1,1354,121.5,45.9,41.5,31.46,2824,1068,0.96
23,Northeast,Ownership of housing unit,Owned,Apartments,1.4,90,66.5,28.9,56.8,2.44,1797,781,1.54
24,Northeast,Ownership of housing unit,Owned,Mobile homes,0.4,34,85.4,40.4,71.4,0.84,2080,984,1.74
25,Northeast,Ownership of housing unit,Rented,,8.1,505,62.3,27.1,54.8,12.93,1594,692,1.4
26,Northeast,Ownership of housing unit,Rented,Single-family,1.5,176,115.2,37.4,52.9,3.48,2275,739,1.04
27,Northeast,Ownership of housing unit,Rented,Apartments,6.5,324,49.9,23.7,55.7,9.29,1431,679,1.6
28,Northeast,Ownership of housing unit,Rented,Mobile homes,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0
29,Northeast,Year of construction,Before 1950,,7.3,679,93.0,37.5,48.1,15.63,2141,863,1.11
30,Northeast,Year of construction,1950 to 1959,,3.0,321,108.8,44.0,50.4,7.2,2440,987,1.13
31,Northeast,Year of construction,1960 to 1969,,2.4,246,100.9,44.7,48.1,5.87,2406,1067,1.15
32,Northeast,Year of construction,1970 to 1979,,2.5,209,83.9,35.1,42.8,5.37,2151,901,1.1
33,Northeast,Year of construction,1980 to 1989,,2.1,162,77.0,31.9,41.4,4.56,2174,900,1.17
34,Northeast,Year of construction,1990 to 1999,,1.7,181,106.1,39.2,41.1,4.24,2489,920,0.96
35,Northeast,Year of construction,2000 to 2009,,1.6,161,98.3,34.4,37.2,4.12,2519,882,0.95
36,Northeast,Year of construction,2010 to 2015,,0.4,25,66.2,28.4,31.4,0.67,1756,752,0.83
37,Northeast,Total square footage,Fewer than 1000,,5.5,241,44.1,24.1,60.7,7.34,1343,732,1.85
38,Northeast,Total square footage,1000 to 1499,,3.7,271,73.3,28.5,60.2,6.74,1822,708,1.5
39,Northeast,Total square footage,1500 to 1999,,1.9,192,103.9,43.8,59.1,4.55,2454,1035,1.4
40,Northeast,Total square footage,2000 to 2499,,2.4,251,104.9,38.3,47.8,6.05,2525,922,1.15
41,Northeast,Total square footage,2500 to 2999,,2.5,302,118.8,43.4,44.1,6.74,2652,970,0.98
42,Northeast,Total square footage,3000 or greater,,5.1,726,143.7,49.5,36.2,16.25,3217,1107,0.81
43,Northeast,Number of household members,1 member,,5.5,328,59.5,59.5,39.9,8.36,1518,1518,1.02
44,Northeast,Number of household members,2 members,,7.4,676,92.0,46.0,42.7,16.46,2239,1120,1.04
45,Northeast,Number of household members,3 members,,3.7,401,108.5,36.2,47.8,9.38,2541,847,1.12
46,Northeast,Number of household members,4 members,,2.5,321,129.0,32.2,50.6,7.53,3029,757,1.19
47,Northeast,Number of household members,5 members,,1.2,153,125.3,25.1,49.6,3.42,2801,560,1.11
48,Northeast,Number of household members,6 or more members,,0.7,105,141.2,22.1,50.7,2.5,3360,525,1.21
49,Northeast,2015 annual household income,Less than $20000,,4.2,306,72.3,35.6,54.6,7.22,1709,841,1.29
50,Northeast,2015 annual household income,$20000 to $39999,,4.3,378,87.7,35.9,47.4,8.66,2012,824,1.09
51,Northeast,2015 annual household income,$40000 to $59999,,2.9,259,89.6,37.5,44.8,6.26,2166,907,1.08
52,Northeast,2015 annual household income,$60000 to $79999,,2.8,259,91.1,36.6,38.9,6.78,2387,959,1.02
